date,ticker,entry,ret_time,ret_tda,ret_gated,off_tda,off_gated
2017-05-15,000250,14700.0,-0.017006802721088454,-0.04761904761904767,-0.04761904761904767,5,5
2017-05-15,006260,68700.0,0.12227074235807867,0.10043668122270732,0.12227074235807867,38,40
2017-05-15,042700,3925.0,0.05095541401273884,0.008917197452229297,0.05095541401273884,9,40
2017-05-15,082920,7011.0,0.0,0.0,0.0,40,40
2017-05-15,131970,8805.0,0.1028960817717206,0.11425326519023282,0.1028960817717206,39,40
2017-05-15,139480,225500.0,0.07760532150776056,0.011086474501108556,0.0,3,35
2017-06-13,011070,155000.0,0.032258064516129004,0.016129032258064502,0.032258064516129004,2,40
2017-06-13,083650,6310.0,-0.16957210776545162,0.1727416798732171,-0.03645007923930266,15,29
2017-07-11,007810,15500.0,0.03870967741935494,0.02580645161290329,0.03870967741935494,8,40
2017-07-11,032640,15500.0,-0.13225806451612898,0.012903225806451646,0.012903225806451646,6,6
2017-07-11,138040,15150.0,0.013201320132013139,-0.0066006600660065695,0.013201320132013139,1,40
2017-07-11,195870,19400.0,0.010309278350515427,0.012886597938144284,-0.1030927835051546,1,19
2017-08-08,011070,160000.0,0.034375000000000044,0.034375000000000044,0.034375000000000044,40,40
2017-08-08,047040,7610.0,-0.06570302233902758,-0.06044678055190533,-0.06044678055190533,9,9
2017-08-08,095340,24171.0,0.04778453518679404,-0.003971701625915314,0.04778453518679404,23,40
2017-08-08,180640,25950.0,-0.24470134874759153,-0.005780346820809301,-0.021194605009633882,1,3
2017-09-06,036570,455000.0,-0.07802197802197797,0.027472527472527375,-0.08461538461538465,16,30
2017-09-06,053610,15406.0,0.08840711411138513,0.106711670777619,0.08840711411138513,33,40
2017-10-12,008930,85852.0,0.09374272002981865,0.020838186646787493,0.09374272002981865,1,40
2017-10-12,009150,102000.0,-0.025490196078431393,-0.019607843137254943,-0.019607843137254943,1,1
2017-10-12,103140,55300.0,-0.22242314647377937,-0.10126582278481011,-0.10126582278481011,12,12
2017-10-12,126340,6146.0,-0.22225837943377802,-0.08346892287666774,-0.17800195248942396,2,6
2017-10-12,140410,10614.0,0.1242698322969662,-0.014132278123233477,0.1242698322969662,4,40
2017-11-09,000150,107132.0,-0.12132696113206143,0.01102378374341928,-0.02941231378112985,1,2
2017-11-09,006400,215876.0,0.004535010839556097,-0.03174970816579892,-0.03174970816579892,25,25
2017-11-09,008930,85048.0,0.15686435895023987,0.21975825416235528,0.15686435895023987,16,40
2017-11-09,009150,102500.0,0.04878048780487809,-0.024390243902439046,-0.024390243902439046,14,14
2017-11-09,011790,37738.0,0.1581694843393926,0.04981716042185602,0.1581694843393926,2,40
2017-11-09,033240,22600.0,0.2079646017699115,0.2831858407079646,0.2079646017699115,10,40
2017-11-09,064760,58300.0,0.15608919382504283,0.1423670668953687,0.15608919382504283,17,40
2017-11-09,066970,39403.0,-0.06471588457731647,0.08940943582975924,-0.07532421389234323,10,27
2017-11-09,083450,4810.0,0.22411642411642418,0.17713097713097703,0.22411642411642418,20,40
2017-11-09,086520,4138.0,0.13194780086998548,0.03987433542774288,0.13194780086998548,18,40
2017-12-07,020150,36550.0,-0.020519835841313228,0.06429548563611487,-0.020519835841313228,31,40
2018-01-09,035720,31311.0,-0.1282616332918144,-0.23078151448372775,-0.23078151448372775,24,24
2018-01-09,051910,427500.0,-0.039766081871345005,-0.08070175438596494,-0.08070175438596494,20,20
2018-01-09,090460,26100.0,-0.22605363984674332,-0.20881226053639845,-0.20881226053639845,35,35
2018-02-06,064760,71500.0,0.051748251748251706,0.05034965034965033,0.051748251748251706,39,40
2018-02-06,108320,53100.0,-0.3286252354048964,0.0,-0.06779661016949157,6,9
2018-03-09,004000,76500.0,-0.16732026143790846,-0.03137254901960784,-0.07843137254901966,1,28
2018-03-09,008770,93500.0,0.2887700534759359,0.0802139037433156,0.2887700534759359,18,40
